PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,1,-0.5636740664747023,1,0,-0.5002397510893574,0
2,1,1,0,0.6692169576775449,1,0,0.788946607905507,1
3,1,3,0,-0.2554513104366405,0,0,-0.48664993466069395,0
4,1,1,0,0.4380498906489985,1,0,0.4228611129909654,0
5,0,3,1,0.4380498906489985,0,0,-0.4841333019887193,0
6,0,3,1,-0.10133993241760961,0,0,-0.47591297302898106,2
7,0,1,1,1.902107981829792,0,0,0.39794644953841574,0
8,0,3,1,-2.104787846665011,3,1,-0.22190017756895475,0
9,1,3,0,-0.17839562142712506,0,2,-0.4220570338487224,0
10,1,2,0,-1.1801195785508258,1,0,-0.040787184044554156,1
11,1,3,0,-1.9506764686459803,1,1,-0.3099823210880695,0
12,1,1,0,2.210330737867854,0,0,-0.11167166653646252,0
13,0,3,1,-0.7177854444937332,0,0,-0.4841333019887193,0
14,0,3,1,0.7462726466870603,1,5,-0.016542951535818605,0
15,0,3,0,-1.1801195785508258,0,0,-0.4880753554061005,0
16,1,2,0,1.9791636708393074,0,0,-0.32407546405112786,0
17,0,3,1,-2.104787846665011,4,1,-0.05982903349378355,2
18,1,2,1,-0.10133993241760961,0,0,-0.38447464817852084,0
19,0,3,0,0.12982713461093673,1,0,-0.28380934129953256,0
20,1,3,0,-0.10133993241760961,0,0,-0.5007430776237524,1
21,0,2,1,0.4380498906489985,0,0,-0.12274485029315124,0
22,1,2,1,0.36099420163948304,0,0,-0.38447464817852084,0
23,1,3,0,-1.1030638895413103,0,0,-0.48455206966533587,2
24,1,1,1,-0.10133993241760961,0,0,0.06851923277692655,0
25,0,3,0,-1.6424537126079184,3,1,-0.22190017756895475,0
26,1,3,0,0.6692169576775449,1,5,-0.014277982131041355,0
27,0,3,1,-0.10133993241760961,0,0,-0.5007430776237524,1
28,0,1,1,-0.7948411335032486,3,2,4.648790695770894,0
29,1,3,0,-0.10133993241760961,0,0,-0.4875720288717055,2
30,0,3,1,-0.10133993241760961,0,0,-0.48723782005286725,0
31,0,1,1,0.8233283356965757,0,0,-0.08809987827767862,1
32,1,1,0,-0.10133993241760961,1,0,2.3037078131670836,1
33,1,3,0,-0.10133993241760961,0,0,-0.49017322040145855,2
34,0,2,1,2.8267762499439777,0,0,-0.434807301618015,0
35,0,1,1,-0.10133993241760961,1,0,1.008145313634504,1
36,0,1,1,0.9774397137156066,1,0,0.40071474547758795,0
37,1,3,1,-0.10133993241760961,0,0,-0.500658518765974,1
38,0,3,1,-0.6407297554842177,0,0,-0.4841333019887193,0
39,0,3,0,-0.871896822512764,2,0,-0.28380934129953256,0
40,1,3,0,-1.1801195785508258,1,0,-0.41987460999558585,1
41,0,3,0,0.8233283356965757,1,0,-0.4554436895282076,0
42,0,2,0,-0.17839562142712506,1,0,-0.22341015717213955,0
43,0,3,1,-0.10133993241760961,0,0,-0.48723782005286725,1
44,1,2,0,-2.0277321576554956,1,2,0.1909121394926757,1
45,1,3,0,-0.7948411335032486,0,0,-0.4875720288717055,2
46,0,3,1,-0.10133993241760961,0,0,-0.4841333019887193,0
47,0,3,1,-0.10133993241760961,1,0,-0.33414199473902667,2
48,1,3,0,-0.10133993241760961,0,0,-0.49017322040145855,2
49,0,3,1,-0.10133993241760961,2,0,-0.20973578188569775,1
50,0,3,0,-0.871896822512764,1,0,-0.28783595357469205,0
51,0,3,1,-1.719509401617434,4,1,0.15282642728807924,0
52,0,3,1,-0.6407297554842177,0,0,-0.48916656733266867,0
53,1,1,0,1.5168295367822147,1,0,0.8985892468519636,1
54,1,2,0,-0.024284243408094167,1,0,-0.12274485029315124,0
55,0,1,1,2.749720560934462,0,1,0.6016265915589479,1
56,1,1,1,-0.10133993241760961,0,0,0.06851923277692655,0
57,1,2,0,-0.6407297554842177,0,0,-0.434807301618015,0
58,0,3,1,-0.0628120879128519,0,0,-0.500658518765974,1
59,1,2,0,-1.8736207796364648,1,2,-0.08751199288550533,0
60,0,3,1,-1.4112866455793722,5,2,0.29803613246101984,0
61,0,3,1,-0.5636740664747023,0,0,-0.500658518765974,1
63,0,1,1,1.208606780744153,1,0,1.0344028522808193,0
64,0,3,1,-1.9506764686459803,3,2,-0.08449203367913571,0
65,0,1,1,-0.10133993241760961,0,0,-0.08809987827767862,1
66,1,3,1,-0.10133993241760961,1,1,-0.33925981894075447,1
67,1,2,0,-0.024284243408094167,0,0,-0.434807301618015,0
68,0,3,1,-0.7948411335032486,0,0,-0.4819528914417204,0
69,1,3,0,-0.9489525115222794,4,2,-0.48664993466069395,0
70,0,3,1,-0.2554513104366405,2,0,-0.4718018018960432,0
71,0,2,1,0.20688282362045216,0,0,-0.434807301618015,0
72,0,3,0,-1.026008200531795,5,2,0.29803613246101984,0
73,0,2,1,-0.6407297554842177,0,0,0.8335755650572377,0
74,0,3,1,-0.2554513104366405,1,0,-0.3551971503258359,1
75,1,3,1,0.20688282362045216,0,0,0.4912289628108992,0
76,0,3,1,-0.3325069994461559,0,0,-0.4921865265390384,0
77,0,3,1,-0.10133993241760961,0,0,-0.48723782005286725,0
78,0,3,1,-0.10133993241760961,0,0,-0.4841333019887193,0
79,1,2,1,-2.1949430028061445,0,2,-0.06234566616575826,0
80,1,3,0,0.052771445601421274,0,0,-0.3950445054008146,0
81,0,3,1,-0.5636740664747023,0,0,-0.4650068936817115,0
82,1,3,1,-0.024284243408094167,0,0,-0.4549403629938127,0
83,1,3,0,-0.10133993241760961,0,0,-0.4894182305998661,2
84,0,1,1,-0.10133993241760961,0,0,0.30206274473617944,0
85,1,2,0,-0.9489525115222794,0,0,-0.434807301618015,0
86,1,3,0,0.2839385126299676,3,0,-0.32709542325749746,0
87,0,3,1,-1.026008200531795,1,3,0.045869538729154176,0
88,0,3,1,-0.10133993241760961,0,0,-0.4841333019887193,0
89,1,1,0,-0.4866183774651868,3,2,4.648790695770894,0
90,0,3,1,-0.4095626884556714,0,0,-0.4841333019887193,0
91,0,3,1,-0.024284243408094167,0,0,-0.4841333019887193,0
92,0,3,1,-0.7177854444937332,0,0,-0.4880753554061005,0
93,0,1,1,1.2856624697536683,1,0,0.5854355836005315,0
94,0,3,1,-0.2554513104366405,1,2,-0.2319667082568536,0
95,0,3,1,2.287386426877369,0,0,-0.5002397510893574,0
96,0,3,1,-0.10133993241760961,0,0,-0.4841333019887193,0
97,0,1,1,3.2120546949915547,0,0,0.05149068946527694,1
98,1,1,1,-0.4866183774651868,0,1,0.6293920965023105,1
99,1,2,0,0.36099420163948304,0,1,-0.18314403442054422,0
100,0,2,1,0.36099420163948304,1,0,-0.12274485029315124,0
101,0,3,0,-0.10133993241760961,0,0,-0.48723782005286725,0
